fen,side,wdl,dtz
8/8/8/8/8/8/8/KBk1B3 w - - 0 1,w,2,14
8/8/8/8/8/8/8/KBk1B3 b - - 0 1,b,-2,-31
8/8/8/8/8/8/8/KBk5 w - - 0 1,w,0,0
8/8/8/8/8/8/8/KBk5 b - - 0 1,b,0,0
8/8/8/8/8/8/8/K1k1B3 w - - 0 1,w,0,0
8/8/8/8/8/8/8/K1k1B3 b - - 0 1,b,0,0
8/8/8/8/8/8/8/KBk3B1 w - - 0 1,w,2,20
8/8/8/8/8/8/8/KBk3B1 b - - 0 1,b,-2,-27
8/8/8/8/8/8/8/K1k3B1 w - - 0 1,w,0,0
8/8/8/8/8/8/8/K1k3B1 b - - 0 1,b,0,0
8/8/8/8/8/8/1B6/KBk5 b - - 0 1,b,-2,-29
8/8/8/8/8/8/1B6/K1k5 b - - 0 1,b,0,0
8/8/8/8/8/8/3B4/KBk5 b - - 0 1,b,0,0
8/8/8/8/8/8/3B4/K1k5 b - - 0 1,b,0,0
8/8/8/8/8/8/5B2/KBk5 w - - 0 1,w,2,20
8/8/8/8/8/8/5B2/KBk5 b - - 0 1,b,-2,-27
8/8/8/8/8/8/5B2/K1k5 w - - 0 1,w,0,0
8/8/8/8/8/8/5B2/K1k5 b - - 0 1,b,0,0
8/8/8/8/8/8/7B/KBk5 w - - 0 1,w,2,20
8/8/8/8/8/8/7B/KBk5 b - - 0 1,b,-2,-29
8/8/8/8/8/8/7B/K1k5 w - - 0 1,w,0,0
8/8/8/8/8/8/7B/K1k5 b - - 0 1,b,0,0
8/8/8/8/8/B7/8/KBk5 b - - 0 1,b,-2,-29
8/8/8/8/8/B7/8/K1k5 b - - 0 1,b,0,0
8/8/8/8/8/2B5/8/KBk5 w - - 0 1,w,2,14
8/8/8/8/8/2B5/8/KBk5 b - - 0 1,b,-2,-15
8/8/8/8/8/2B5/8/K1k5 w - - 0 1,w,0,0
8/8/8/8/8/2B5/8/K1k5 b - - 0 1,b,0,0
8/8/8/8/8/4B3/8/KBk5 b - - 0 1,b,-2,-19
8/8/8/8/8/4B3/8/K1k5 b - - 0 1,b,0,0
8/8/8/8/8/6B1/8/KBk5 w - - 0 1,w,2,20
8/8/8/8/8/6B1/8/KBk5 b - - 0 1,b,-2,-31
8/8/8/8/8/6B1/8/K1k5 w - - 0 1,w,0,0
8/8/8/8/8/6B1/8/K1k5 b - - 0 1,b,0,0
8/8/8/8/1B6/8/8/KBk5 w - - 0 1,w,2,14
8/8/8/8/1B6/8/8/KBk5 b - - 0 1,b,-2,-13
8/8/8/8/1B6/8/8/K1k5 w - - 0 1,w,0,0
8/8/8/8/1B6/8/8/K1k5 b - - 0 1,b,0,0
8/8/8/8/3B4/8/8/KBk5 w - - 0 1,w,2,16
8/8/8/8/3B4/8/8/KBk5 b - - 0 1,b,-2,-27
8/8/8/8/3B4/8/8/K1k5 w - - 0 1,w,0,0
8/8/8/8/3B4/8/8/K1k5 b - - 0 1,b,0,0
8/8/8/8/5B2/8/8/KBk5 b - - 0 1,b,-2,-19
8/8/8/8/5B2/8/8/K1k5 b - - 0 1,b,0,0
8/8/8/8/7B/8/8/KBk5 w - - 0 1,w,2,20
8/8/8/8/7B/8/8/KBk5 b - - 0 1,b,-2,-29
8/8/8/8/7B/8/8/K1k5 w - - 0 1,w,0,0
8/8/8/8/7B/8/8/K1k5 b - - 0 1,b,0,0
8/8/8/B7/8/8/8/KBk5 w - - 0 1,w,2,14
8/8/8/B7/8/8/8/KBk5 b - - 0 1,b,-2,-15
8/8/8/B7/8/8/8/K1k5 w - - 0 1,w,0,0
8/8/8/B7/8/8/8/K1k5 b - - 0 1,b,0,0
8/8/8/2B5/8/8/8/KBk5 w - - 0 1,w,2,14
8/8/8/2B5/8/8/8/KBk5 b - - 0 1,b,-2,-27
8/8/8/2B5/8/8/8/K1k5 w - - 0 1,w,0,0
8/8/8/2B5/8/8/8/K1k5 b - - 0 1,b,0,0
8/8/8/4B3/8/8/8/KBk5 w - - 0 1,w,2,16
8/8/8/4B3/8/8/8/KBk5 b - - 0 1,b,-2,-29
8/8/8/4B3/8/8/8/K1k5 w - - 0 1,w,0,0
8/8/8/4B3/8/8/8/K1k5 b - - 0 1,b,0,0
8/8/8/6B1/8/8/8/KBk5 b - - 0 1,b,-2,-19
8/8/8/6B1/8/8/8/K1k5 b - - 0 1,b,0,0
8/8/1B6/8/8/8/8/KBk5 w - - 0 1,w,2,16
8/8/1B6/8/8/8/8/KBk5 b - - 0 1,b,-2,-27
8/8/1B6/8/8/8/8/K1k5 w - - 0 1,w,0,0
