fen,side,wdl,dtz
3k4/8/4B3/8/8/8/7B/K7 w - - 0 1,w,2,22
8/3B2k1/8/8/8/B7/8/1K6 w - - 0 1,w,2,26
B7/8/3k4/8/8/4B3/8/1K6 w - - 0 1,w,2,30
8/8/8/3k1B2/8/4B3/8/1K6 w - - 0 1,w,2,32
1B6/8/8/8/B7/8/8/2K4k w - - 0 1,w,2,18
B7/8/k7/8/8/8/7B/1K6 w - - 0 1,w,2,26
8/8/8/k5B1/8/5B2/8/K7 w - - 0 1,w,2,26
8/8/8/8/7B/3Bk3/8/K7 w - - 0 1,w,2,34
8/8/8/7k/8/6B1/2B5/2K5 w - - 0 1,w,2,24
8/8/8/5B2/8/k3B3/8/2K5 w - - 0 1,w,2,14
8/8/8/8/B7/8/8/1KB2k2 w - - 0 1,w,2,22
8/k7/8/8/8/8/1B6/1K6 w - - 0 1,w,0,0
8/8/8/8/7B/8/6k1/1K1B4 w - - 0 1,w,2,18
8/8/8/1k5B/8/4B3/8/1K6 w - - 0 1,w,2,24
8/8/8/8/3k4/5B2/7B/K7 w - - 0 1,w,2,30
8/4B3/7k/7B/8/8/8/K7 w - - 0 1,w,2,24
8/8/8/8/8/1B3k2/8/B1K5 w - - 0 1,w,2,26
8/8/k5B1/8/8/8/7B/2K5 w - - 0 1,w,2,26
8/B7/8/3k4/6B1/8/8/1K6 w - - 0 1,w,2,32
8/8/6BB/8/8/8/8/k1K5 w - - 0 1,w,2,4
8/8/8/3k4/7B/3B4/8/2K5 w - - 0 1,w,2,30
1B6/8/8/k6B/8/8/8/2K5 w - - 0 1,w,2,28
3B4/7k/8/8/6B1/8/8/1K6 w - - 0 1,w,2,24
8/5BB1/8/1k6/8/8/8/1K6 w - - 0 1,w,2,26
8/8/8/8/4B3/8/4k2B/K7 w - - 0 1,w,2,26
8/8/5B2/8/4B3/8/8/K2k4 w - - 0 1,w,2,26
6k1/8/7B/8/8/8/8/K6B w - - 0 1,w,2,32
4B3/7k/8/8/8/8/8/K1B5 w - - 0 1,w,2,26
8/3k4/8/8/8/1B6/3B4/K7 w - - 0 1,w,2,28
8/8/8/8/8/5B2/3k1B2/K7 w - - 0 1,w,2,20
8/2B5/k7/8/8/8/6B1/K7 w - - 0 1,w,2,22
3B3k/8/8/8/8/5B2/8/K7 w - - 0 1,w,2,26
8/8/8/8/8/8/8/BK4kB w - - 0 1,w,2,26
8/k7/8/8/8/2B5/8/K7 w - - 0 1,w,0,0
8/8/8/5B2/k7/8/7B/K7 w - - 0 1,w,2,24
7B/8/8/8/8/7B/5k2/1K6 w - - 0 1,w,2,28
5k2/8/8/8/8/8/2B4B/1K6 w - - 0 1,w,2,28
4k3/7B/5B2/8/8/8/8/1K6 w - - 0 1,w,2,26
6k1/8/8/8/8/6B1/8/1K6 w - - 0 1,w,0,0
8/8/8/1k5B/3B4/8/8/2K5 w - - 0 1,w,2,28
8/8/8/5B2/3B4/8/3k4/1K6 w - - 0 1,w,2,22
8/1B6/8/8/8/8/2k4B/K7 w - - 0 1,w,2,22
8/8/6B1/k7/8/8/8/2K5 w - - 0 1,w,0,0
8/6B1/8/8/8/4k3/8/KB6 w - - 0 1,w,2,28
8/8/5k2/8/6B1/8/3B4/2K5 w - - 0 1,w,2,26
8/8/B1k5/2B5/8/8/8/2K5 w - - 0 1,w,2,34
8/6B1/8/6k1/8/3B4/8/2K5 w - - 0 1,w,2,22
3k4/8/8/3B4/8/8/8/K3B3 w - - 0 1,w,2,26
8/8/8/1B2B3/8/8/8/K6k w - - 0 1,w,2,24
8/8/8/6B1/2B3k1/8/8/1K6 w - - 0 1,w,2,32
B7/8/8/6B1/6k1/8/8/1K6 w - - 0 1,w,2,32
8/8/8/8/6k1/1B6/8/1K6 w - - 0 1,w,0,0
8/7k/7B/8/8/8/8/1K5B w - - 0 1,w,2,32
8/2B5/8/8/8/1k6/6B1/1K6 w - - 0 1,w,2,22
8/7k/2B5/8/7B/8/8/K7 w - - 0 1,w,2,26
8/8/1B6/5B2/1k6/8/8/1K6 w - - 0 1,w,2,20
8/8/8/8/4B3/B7/8/1K1k4 w - - 0 1,w,2,24
8/8/3B4/8/8/7k/8/K7 w - - 0 1,w,0,0
6k1/8/8/8/4B3/8/1B6/1K6 w - - 0 1,w,2,22
3B4/8/8/8/8/1B6/4k3/2K5 w - - 0 1,w,2,28
8/8/4Bk2/8/8/6B1/8/1K6 w - - 0 1,w,2,28
2k5/8/8/4B3/8/8/4B3/K7 w - - 0 1,w,2,24
8/1B6/8/8/6k1/8/8/K7 w - - 0 1,w,0,0
8/6B1/8/8/8/8/4B3/K6k w - - 0 1,w,2,22
4k3/8/8/B7/2B5/8/8/K7 w - - 0 1,w,2,26
8/3B4/8/8/8/6k1/8/1KB5 w - - 0 1,w,2,22
B5k1/8/8/2B5/8/8/8/K7 w - - 0 1,w,2,28
8/2B5/8/2k5/8/8/8/KB6 w - - 0 1,w,2,32
8/2B5/8/5B2/8/8/4k3/K7 w - - 0 1,w,2,28
8/8/8/8/k3B3/8/7B/1K6 w - - 0 1,w,2,24
B7/8/8/8/1B6/8/8/1K4k1 w - - 0 1,w,2,24
8/4k3/8/7B/8/8/5B2/K7 w - - 0 1,w,2,32
8/4k3/2B5/8/8/8/8/1K6 w - - 0 1,w,0,0
1k3B2/8/8/8/6B1/8/8/K7 w - - 0 1,w,2,24
8/7k/8/8/8/8/8/1K4B1 w - - 0 1,w,0,0
8/8/8/8/7k/4B3/8/1BK5 w - - 0 1,w,2,20
8/8/8/4B3/8/8/3k4/KB6 w - - 0 1,w,2,26
8/8/8/8/4B3/7k/3B4/1K6 w - - 0 1,w,2,22
8/8/7B/8/8/2k2B2/8/2K5 w - - 0 1,w,2,26
8/8/8/8/8/4B2k/8/K7 w - - 0 1,w,0,0
8/2B5/8/8/8/5k2/2B5/1K6 w - - 0 1,w,2,28
B7/8/8/2k5/8/8/8/K7 w - - 0 1,w,0,0
k7/8/8/8/8/4B3/B7/1K6 w - - 0 1,w,2,24
8/8/3B4/8/7k/8/6B1/2K5 w - - 0 1,w,2,26
8/3k4/1B6/8/8/8/4B3/2K5 w - - 0 1,w,2,32
8/4B3/8/8/8/5B2/7k/1K6 w - - 0 1,w,2,18
8/8/B7/7k/8/8/7B/K7 w - - 0 1,w,2,30
1k6/8/2B5/B7/8/8/8/K7 w - - 0 1,w,2,18
8/7B/1k6/6B1/8/8/8/1K6 w - - 0 1,w,2,30
8/1B3k2/8/8/8/6B1/8/1K6 w - - 0 1,w,2,28
8/8/8/8/3B4/3B4/8/1K5k w - - 0 1,w,2,18
1B6/8/6B1/8/8/8/8/2K1k3 w - - 0 1,w,2,20
8/8/8/8/8/1k3B2/3B4/1K6 w - - 0 1,w,2,12
8/8/8/8/5B2/7k/B7/1K6 w - - 0 1,w,2,24
8/B7/8/5k2/8/8/8/2K2B2 w - - 0 1,w,2,32
8/B7/8/8/k7/7B/8/1K6 w - - 0 1,w,2,18
8/8/8/8/1k3B2/1B6/8/1K6 w - - 0 1,w,2,28
2B5/8/7k/8/8/8/8/1K6 w - - 0 1,w,0,0
8/8/8/8/4B3/k7/8/1K6 w - - 0 1,w,0,0
8/8/8/8/4k3/8/1B6/K2B4 w - - 0 1,w,2,32
2B5/5k2/8/2B5/8/8/8/1K6 w - - 0 1,w,2,28
6B1/1k6/8/8/8/6B1/8/1K6 w - - 0 1,w,2,28
