fen,wdl,dtz
8/8/8/8/8/8/8/K1k5 w - - 0 1,0,
8/8/8/8/8/8/8/K1k5 b - - 0 1,0,
8/8/8/8/8/8/8/K2k4 w - - 0 1,0,
8/8/8/8/8/8/8/K2k4 b - - 0 1,0,
8/8/8/8/8/8/8/K3k3 w - - 0 1,0,
8/8/8/8/8/8/8/K3k3 b - - 0 1,0,
8/8/8/8/8/8/8/K4k2 w - - 0 1,0,
8/8/8/8/8/8/8/K4k2 b - - 0 1,0,
8/8/8/8/8/8/8/K5k1 w - - 0 1,0,
8/8/8/8/8/8/8/K5k1 b - - 0 1,0,
8/8/8/8/8/8/8/K6k w - - 0 1,0,
8/8/8/8/8/8/8/K6k b - - 0 1,0,
8/8/8/8/8/8/2k5/K7 w - - 0 1,0,
8/8/8/8/8/8/2k5/K7 b - - 0 1,0,
8/8/8/8/8/8/3k4/K7 w - - 0 1,0,
8/8/8/8/8/8/3k4/K7 b - - 0 1,0,
8/8/8/8/8/8/4k3/K7 w - - 0 1,0,
8/8/8/8/8/8/4k3/K7 b - - 0 1,0,
8/8/8/8/8/8/5k2/K7 w - - 0 1,0,
8/8/8/8/8/8/5k2/K7 b - - 0 1,0,
8/8/8/8/8/8/6k1/K7 w - - 0 1,0,
8/8/8/8/8/8/6k1/K7 b - - 0 1,0,
8/8/8/8/8/8/7k/K7 w - - 0 1,0,
8/8/8/8/8/8/7k/K7 b - - 0 1,0,
8/8/8/8/8/k7/8/K7 w - - 0 1,0,
8/8/8/8/8/k7/8/K7 b - - 0 1,0,
8/8/8/8/8/1k6/8/K7 w - - 0 1,0,
8/8/8/8/8/1k6/8/K7 b - - 0 1,0,
8/8/8/8/8/2k5/8/K7 w - - 0 1,0,
8/8/8/8/8/2k5/8/K7 b - - 0 1,0,
8/8/8/8/8/3k4/8/K7 w - - 0 1,0,
8/8/8/8/8/3k4/8/K7 b - - 0 1,0,
8/8/8/8/8/4k3/8/K7 w - - 0 1,0,
8/8/8/8/8/4k3/8/K7 b - - 0 1,0,
8/8/8/8/8/5k2/8/K7 w - - 0 1,0,
8/8/8/8/8/5k2/8/K7 b - - 0 1,0,
8/8/8/8/8/6k1/8/K7 w - - 0 1,0,
8/8/8/8/8/6k1/8/K7 b - - 0 1,0,
8/8/8/8/8/7k/8/K7 w - - 0 1,0,
8/8/8/8/8/7k/8/K7 b - - 0 1,0,
8/8/8/8/k7/8/8/K7 w - - 0 1,0,
8/8/8/8/k7/8/8/K7 b - - 0 1,0,
8/8/8/8/1k6/8/8/K7 w - - 0 1,0,
8/8/8/8/1k6/8/8/K7 b - - 0 1,0,
8/8/8/8/2k5/8/8/K7 w - - 0 1,0,
8/8/8/8/2k5/8/8/K7 b - - 0 1,0,
8/8/8/8/3k4/8/8/K7 w - - 0 1,0,
8/8/8/8/3k4/8/8/K7 b - - 0 1,0,
8/8/8/8/4k3/8/8/K7 w - - 0 1,0,
8/8/8/8/4k3/8/8/K7 b - - 0 1,0,
8/8/8/8/5k2/8/8/K7 w - - 0 1,0,
8/8/8/8/5k2/8/8/K7 b - - 0 1,0,
8/8/8/8/6k1/8/8/K7 w - - 0 1,0,
8/8/8/8/6k1/8/8/K7 b - - 0 1,0,
8/8/8/8/7k/8/8/K7 w - - 0 1,0,
8/8/8/8/7k/8/8/K7 b - - 0 1,0,
8/8/8/k7/8/8/8/K7 w - - 0 1,0,
8/8/8/k7/8/8/8/K7 b - - 0 1,0,
8/8/8/1k6/8/8/8/K7 w - - 0 1,0,
8/8/8/1k6/8/8/8/K7 b - - 0 1,0,
8/8/8/2k5/8/8/8/K7 w - - 0 1,0,
8/8/8/2k5/8/8/8/K7 b - - 0 1,0,
8/8/8/3k4/8/8/8/K7 w - - 0 1,0,
8/8/8/3k4/8/8/8/K7 b - - 0 1,0,
8/8/8/4k3/8/8/8/K7 w - - 0 1,0,
8/8/8/4k3/8/8/8/K7 b - - 0 1,0,
8/8/8/5k2/8/8/8/K7 w - - 0 1,0,
8/8/8/5k2/8/8/8/K7 b - - 0 1,0,
8/8/8/6k1/8/8/8/K7 w - - 0 1,0,
8/8/8/6k1/8/8/8/K7 b - - 0 1,0,
8/8/8/7k/8/8/8/K7 w - - 0 1,0,
8/8/8/7k/8/8/8/K7 b - - 0 1,0,
8/8/k7/8/8/8/8/K7 w - - 0 1,0,
8/8/k7/8/8/8/8/K7 b - - 0 1,0,
8/8/1k6/8/8/8/8/K7 w - - 0 1,0,
8/8/1k6/8/8/8/8/K7 b - - 0 1,0,
8/8/2k5/8/8/8/8/K7 w - - 0 1,0,
8/8/2k5/8/8/8/8/K7 b - - 0 1,0,
8/8/3k4/8/8/8/8/K7 w - - 0 1,0,
8/8/3k4/8/8/8/8/K7 b - - 0 1,0,
8/8/4k3/8/8/8/8/K7 w - - 0 1,0,
8/8/4k3/8/8/8/8/K7 b - - 0 1,0,
8/8/5k2/8/8/8/8/K7 w - - 0 1,0,
8/8/5k2/8/8/8/8/K7 b - - 0 1,0,
8/8/6k1/8/8/8/8/K7 w - - 0 1,0,
8/8/6k1/8/8/8/8/K7 b - - 0 1,0,
8/8/7k/8/8/8/8/K7 w - - 0 1,0,
8/8/7k/8/8/8/8/K7 b - - 0 1,0,
8/k7/8/8/8/8/8/K7 w - - 0 1,0,
8/k7/8/8/8/8/8/K7 b - - 0 1,0,
8/1k6/8/8/8/8/8/K7 w - - 0 1,0,
8/1k6/8/8/8/8/8/K7 b - - 0 1,0,
8/2k5/8/8/8/8/8/K7 w - - 0 1,0,
8/2k5/8/8/8/8/8/K7 b - - 0 1,0,
8/3k4/8/8/8/8/8/K7 w - - 0 1,0,
8/3k4/8/8/8/8/8/K7 b - - 0 1,0,
8/4k3/8/8/8/8/8/K7 w - - 0 1,0,
8/4k3/8/8/8/8/8/K7 b - - 0 1,0,
8/5k2/8/8/8/8/8/K7 w - - 0 1,0,
8/5k2/8/8/8/8/8/K7 b - - 0 1,0,
8/6k1/8/8/8/8/8/K7 w - - 0 1,0,
8/6k1/8/8/8/8/8/K7 b - - 0 1,0,
8/7k/8/8/8/8/8/K7 w - - 0 1,0,
8/7k/8/8/8/8/8/K7 b - - 0 1,0,
k7/8/8/8/8/8/8/K7 w - - 0 1,0,
k7/8/8/8/8/8/8/K7 b - - 0 1,0,
1k6/8/8/8/8/8/8/K7 w - - 0 1,0,
1k6/8/8/8/8/8/8/K7 b - - 0 1,0,
2k5/8/8/8/8/8/8/K7 w - - 0 1,0,
2k5/8/8/8/8/8/8/K7 b - - 0 1,0,
3k4/8/8/8/8/8/8/K7 w - - 0 1,0,
3k4/8/8/8/8/8/8/K7 b - - 0 1,0,
4k3/8/8/8/8/8/8/K7 w - - 0 1,0,
4k3/8/8/8/8/8/8/K7 b - - 0 1,0,
5k2/8/8/8/8/8/8/K7 w - - 0 1,0,
5k2/8/8/8/8/8/8/K7 b - - 0 1,0,
6k1/8/8/8/8/8/8/K7 w - - 0 1,0,
6k1/8/8/8/8/8/8/K7 b - - 0 1,0,
7k/8/8/8/8/8/8/K7 w - - 0 1,0,
7k/8/8/8/8/8/8/K7 b - - 0 1,0,
8/8/8/8/8/8/8/1K1k4 w - - 0 1,0,
8/8/8/8/8/8/8/1K1k4 b - - 0 1,0,
